Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_14_502.jpg;15;0;0;2.244728;103.6182;91.78247;0.07578935;66.83608;1.21846
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_14_569.jpg;15;0;0;2.233954;103.6641;91.90649;0.02276401;68.69638;1.125078
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_14_636.jpg;15;0;0;2.222041;103.7023;92.03109;359.8903;70.51036;1.065917
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_14_703.jpg;15;0;0;2.212105;103.7471;92.20039;359.8397;72.86456;1.017381
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_14_769.jpg;15;0;0;2.2011;103.7759;92.32908;359.8744;74.65543;1.001525
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_14_837.jpg;15;0;0;2.187112;103.8001;92.45847;359.9285;76.48151;1.034623
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_14_903.jpg;15;0;0;2.176902;103.8257;92.6314;0.01494251;78.95223;1.122686
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_14_970.jpg;15;0;0;2.166867;103.8407;92.75951;-0.000341903;80.78441;1.151775
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_037.jpg;15;0;0;2.154432;103.852;92.88745;359.987;82.58658;1.140233
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_102.jpg;15;0;0.1989431;2.134948;103.8601;93.0554;359.9304;84.95475;1.102745
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_169.jpg;13.44966;0;0.4015778;2.080663;103.862;93.17638;359.8353;86.59578;1.049721
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_236.jpg;10.46936;0;0.6002642;1.956014;103.8621;93.29045;359.6621;87.95837;0.9388754
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_303.jpg;7.493862;0;0.7986309;1.832755;103.8618;93.42727;359.2693;89.20805;0.6135654
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_369.jpg;4.488574;0;0.9989834;1.683468;103.8614;93.51823;358.8987;89.96545;0.223809
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_436.jpg;1.46716;0;1;1.459256;103.8591;93.59948;358.5038;90.43069;359.838
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_503.jpg;0;0;1;1.347909;103.8505;93.70078;358.2412;91.18625;359.6876
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_569.jpg;0;0;1;1.24229;103.842;93.77251;358.252;92.02484;359.7797
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_636.jpg;0;0;1;1.08416;103.831;93.84054;358.4768;93.09583;0.06882299
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_703.jpg;0;0;1;0.9641008;103.8227;93.92258;358.9697;94.26895;0.163023
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_770.jpg;1.980704;0;1;0.7467844;103.8204;93.96017;358.9012;94.36157;0.06230475
